Input,Response,Correction
He don't knows the answer.,"What time are you going? , Are you excited about it? , Is it a nearby park? , etc...",It has been raining since morning.
He don't knows the answer.,"Has he tried finding the answer? , What question was he asked? , Maybe he just needs more time. , etc...",He is smarter than me.
He go to school everyday.,"What sport do you enjoy instead? , Any reason for disliking football? , Have you tried it recently? , etc...",I agree with you.
I am agree with you.,"What made her so happy? , Was it a surprise meeting? , Did they talk much? , etc...",She doesn't like apples.
I have went to the market yesterday.,"What games do they play? , Are they trained? , How often do they play outside? , etc...",He doesn't know the answer.
There was a lot of people at the party.,"Why doesn't she like apples? , Is it because of the taste? , That's unusual, any specific reason? , etc...",He doesn't know the answer.
The dogs plays in the garden.,"Has he tried finding the answer? , What question was he asked? , Maybe he just needs more time. , etc...",The dogs play in the garden.
We didn't saw him at the meeting.,"What makes you think so? , Everyone has their own strengths! , Have you discussed this with him? , etc...",They have been working hard.
They has been working hard.,"Why doesn't she like apples? , Is it because of the taste? , That's unusual, any specific reason? , etc...",I don't like playing football.
She didn't told me about it.,"What made her so happy? , Was it a surprise meeting? , Did they talk much? , etc...",The cat was sitting on the mat.
I have went to the market yesterday.,"What made you realize they were right? , That's good to acknowledge! , Were you surprised? , etc...",She doesn't like apples.
It is raining since morning.,"What sport do you enjoy instead? , Any reason for disliking football? , Have you tried it recently? , etc...",It has been raining since morning.
I has too many books to read.,"What sport do you enjoy instead? , Any reason for disliking football? , Have you tried it recently? , etc...",My brother does not have a car.
He don't knows the answer.,"Why do you agree? , What part do you agree with? , That's great, do you have more thoughts? , etc...",The cat was sitting on the mat.
I doesn't like playing football.,"How long was it sitting there? , Was it comfortable? , Does it often sit there? , etc...",She was happy to see him.
We is going to the park later.,"What time does he go to school? , Does he enjoy school? , Is it close to home? , etc...",She didn't tell me about it.
I have went to the market yesterday.,"What time are you going? , Are you excited about it? , Is it a nearby park? , etc...",You were right all along.
I have went to the market yesterday.,"What time does he go to school? , Does he enjoy school? , Is it close to home? , etc...",The dogs play in the garden.
I has too many books to read.,"What time does he go to school? , Does he enjoy school? , Is it close to home? , etc...",My brother does not have a car.
She were happy to see him.,"What time does he go to school? , Does he enjoy school? , Is it close to home? , etc...",There were a lot of people at the party.
There was a lot of people at the party.,"Did she forget to tell you? , Maybe she thought you already knew? , Have you spoken to her about it? , etc...",The cat was sitting on the mat.
She didn't told me about it.,"Does he have a different favorite food? , That's rare, most people love pizza! , Is there a specific reason? , etc...",He doesn't like pizza.
It is raining since morning.,"Did she forget to tell you? , Maybe she thought you already knew? , Have you spoken to her about it? , etc...",The dogs play in the garden.
You was right all along.,"What time are you going? , Are you excited about it? , Is it a nearby park? , etc...",I have too many books to read.
You was right all along.,"Does he plan to get one? , Does he prefer public transport? , Maybe he doesn't need one? , etc...",The dogs play in the garden.
She don't like apples.,"What time does he go to school? , Does he enjoy school? , Is it close to home? , etc...",We didn't see him at the meeting.
You was right all along.,"What are they working on? , That's great, hard work pays off! , Are they close to achieving their goal? , etc...",He goes to school every day.
I has too many books to read.,"What time are you going? , Are you excited about it? , Is it a nearby park? , etc...",The dogs play in the garden.
It is raining since morning.,"Maybe he was running late? , Could he have joined after you left? , Did you check with someone else? , etc...",He doesn't know the answer.
We didn't saw him at the meeting.,"Does he plan to get one? , Does he prefer public transport? , Maybe he doesn't need one? , etc...",It has been raining since morning.
It is raining since morning.,"Why do you agree? , What part do you agree with? , That's great, do you have more thoughts? , etc...",My brother does not have a car.
I has too many books to read.,"What games do they play? , Are they trained? , How often do they play outside? , etc...",It has been raining since morning.
You was right all along.,"What makes you think so? , Everyone has their own strengths! , Have you discussed this with him? , etc...",She doesn't like apples.
There was a lot of people at the party.,"Has he tried finding the answer? , What question was he asked? , Maybe he just needs more time. , etc...",I agree with you.
It is raining since morning.,"What are they working on? , That's great, hard work pays off! , Are they close to achieving their goal? , etc...",I agree with you.
We is going to the park later.,"Why doesn't she like apples? , Is it because of the taste? , That's unusual, any specific reason? , etc...",The dogs play in the garden.
She didn't told me about it.,"What are they working on? , That's great, hard work pays off! , Are they close to achieving their goal? , etc...",She didn't tell me about it.
He is more smarter than me.,"What games do they play? , Are they trained? , How often do they play outside? , etc...",The cat was sitting on the mat.
He don't like pizza.,"What made you realize they were right? , That's good to acknowledge! , Were you surprised? , etc...",I don't like playing football.
